Epoch,Train Loss,Test Loss
0,0.35587348112814166,0.03158976479225637
1,0.030446857252694685,0.029116839890432417
2,0.02754653258581839,0.0261559083938612
3,0.025317887260527385,0.024587646339496613
4,0.024520669274755942,0.024280938780775155
5,0.024299522061118455,0.02410476871813394
6,0.024232616237084177,0.024059201613940793
7,0.024210063137828072,0.024109348347982663
8,0.024192893720264466,0.02395532211545657
9,0.024180165585162717,0.024093142441439813
10,0.024164428083105517,0.024063445485383434
11,0.024158187718803317,0.02412286416918469
12,0.024147903362355103,0.02399512637821906
13,0.02413637532529778,0.024015965979650167
14,0.024126167142759062,0.02408868881352206
15,0.024116300116078963,0.023924464700436757
16,0.02410738620640845,0.023917897449300896
17,0.024097908558534595,0.023969101837385685
18,0.0240928818394639,0.02401605632716965
19,0.02407811679985423,0.02388093750022388
20,0.024068477666726606,0.023924379674247497
21,0.024061733205088903,0.02401633404108553
22,0.024059482986406026,0.023968027340260538
23,0.024046349565928448,0.023941834617383646
24,0.02404216608192976,0.023866479819185823
25,0.024035435181506682,0.023835065326322888
26,0.024031776301517767,0.023922639389756733
27,0.024020443053149775,0.023974284418435444
28,0.02401249848491794,0.02391145318790885
29,0.024010387857486333,0.02381385518210483
30,0.02401106548992789,0.023882864494300084
31,0.024002674907712702,0.02381112095907016
32,0.023996900317029047,0.023973340134266885
33,0.02399834942213794,0.023863250728137008
34,0.023996747944305143,0.023832779316333746
35,0.023986741291625122,0.023806525130335786
36,0.023982512324201188,0.023781738962967605
37,0.02397848616807246,0.0237951791237046
38,0.023980939886574695,0.02393594480694754
39,0.02397921074276795,0.023980595870896362
40,0.023977497312214754,0.024058629995692048
41,0.023975384361054224,0.02381622918385411
42,0.023970527554295,0.023798002482149454
43,0.023971640617125315,0.023816368226440263
44,0.023970783534128258,0.023794216948339747
45,0.023968566043215983,0.023882556868034522
46,0.02396933934708983,0.02377922122130167
47,0.023962291736104913,0.02382495752644336
48,0.023965133950740163,0.023875729025283166
49,0.023967236940345124,0.02377727574331928
50,0.023965274349309278,0.02391037679657151
51,0.023957483065347916,0.02388738910398037
52,0.023958871152243582,0.02380134916695478
53,0.023959222079503732,0.023916267869116086
54,0.023953236872062203,0.023849540835516134
55,0.023960796920790325,0.023782872648079913
56,0.02395336918153966,0.02379082235996493
57,0.02395296241592688,0.023863395088800726
58,0.023952423774774682,0.023826696313987417
59,0.023949742796431608,0.023795827808917057
60,0.023949435217305234,0.02382793897438256
61,0.023948806359834516,0.023826416188141224
62,0.02394648884049204,0.023796754939617783
63,0.02394832304931063,0.02390140479600136
64,0.023940920911272097,0.02386021677925018
65,0.02394102550615674,0.02386503174512282
66,0.02393945875859139,0.023779056839856153
67,0.02393619416766781,0.02377416004152895
68,0.023935703834832404,0.02388153273243843
69,0.023931581325895984,0.023771661343773936
70,0.02393479602932385,0.023740931529849765
71,0.023932321731000152,0.023802390323329606
72,0.0239264677947291,0.023783355484029736
73,0.023926566626995473,0.02381570715435968
74,0.02392246561332413,0.023761444614911774
75,0.023920859828057715,0.023735157343529056
76,0.023925141152666276,0.023709602584988988
77,0.023922038951356424,0.02386374584847302
78,0.023919797088052405,0.023807323812778843
79,0.02392040522796623,0.0237641497782331
80,0.02391806164287631,0.02374410960266479
81,0.023918854059652828,0.023790988383508283
82,0.02391803372920772,0.02378453261532033
83,0.023916343290424007,0.0237420897050632
84,0.023920739827098705,0.02370281979851117
85,0.02391801515992229,0.023798530009919442
86,0.023914583463765172,0.023769952954820844
87,0.023915477366501455,0.023793113090705992
88,0.023909945907572602,0.02374997043979013
89,0.02391478723917495,0.023730271087295543
90,0.023911278227816232,0.023878158215182917
91,0.02390885407286805,0.023718890638079713
92,0.02390743021497653,0.02415378285353588
93,0.023908951802348262,0.023943370526367934
94,0.02390760224361581,0.023721861911539875
95,0.023903273930021073,0.02371223184355975
96,0.023901966657352298,0.023833929394227054
97,0.023907216226495668,0.023724283822202867
98,0.02390518188711994,0.023714850629476578
99,0.023900393885445792,0.023900242326079645
