Epoch,Train Loss,Test Loss
0,0.8377698087177804,0.2859599339818548
1,0.27319246549834314,0.2506623182502934
2,0.23709955146790876,0.21748202273744482
3,0.21282344194639258,0.2028796563488632
4,0.203742929459179,0.19691399700237475
5,0.1984181036090014,0.19302769090272126
6,0.19448275264991297,0.18880263443826067
7,0.19144049591590911,0.18561172800294343
8,0.18880573156188674,0.183057807358838
9,0.18661394215123417,0.18171582965994706
10,0.18475241501721998,0.1791811731280889
11,0.18302848922068624,0.18131991756133736
12,0.18139080430931903,0.17654097377653255
13,0.1799058760825413,0.17448686731927757
14,0.17843441471484256,0.17248888464533796
15,0.1770376571255645,0.1714089779184009
16,0.17565382665032434,0.1704398777050393
17,0.17429242599517186,0.16858654729890787
18,0.17293225428380496,0.1674286079908575
19,0.17172158214895167,0.1664466272143456
20,0.17053356286095708,0.16502389753654279
21,0.16939465856355934,0.1642012558115465
22,0.16819525421190612,0.1629232748431291
23,0.167062137562492,0.16164000063931788
24,0.1660275811512875,0.1609042988282725
25,0.16490425575344553,0.16081969277861907
26,0.16384899597910788,0.15890983963035984
27,0.16300110237441048,0.15782544250073494
28,0.1620874625806547,0.15712090238648796
29,0.1612211684758215,0.15671454754763153
30,0.16046187901039763,0.15478833872889508
31,0.15960601635544913,0.15345447147631186
32,0.15879549596160034,0.15307224848024029
33,0.15801363349593595,0.15386069194029842
34,0.15727470219770298,0.15196883439045508
35,0.15654504278821121,0.15166578621863322
36,0.15570676352979343,0.14990909095318988
37,0.15488511585400877,0.15166899343966816
38,0.15410537487808482,0.15326886555330335
39,0.15328045553235428,0.14833428471305515
40,0.15253957893316303,0.1475283812268965
41,0.15179943579990302,0.14836070066831553
42,0.15108566975590462,0.14732840196511074
43,0.15032805131033156,0.14680765726500009
44,0.14959820831821233,0.14438327422906613
45,0.14885594019295478,0.1444903070714364
46,0.14807231786450945,0.14339120873584035
47,0.14743959378521665,0.14371656328833493
48,0.14679697824967075,0.14153808760980185
49,0.14614367571684925,0.1427054197633467
50,0.14554724549506717,0.14022754972666213
51,0.14506504264047218,0.13964799051879562
52,0.14453796967835333,0.1418570852808794
53,0.14407364914385573,0.13790501354164564
54,0.14364168172791353,0.1382835625750574
55,0.14327338005837528,0.139324101049209
56,0.14286733344404196,0.13733958372860203
57,0.14249044919635515,0.13819804643440112
58,0.14214173110268954,0.1370561956154869
59,0.14180335228650182,0.1375487078171717
60,0.14149031686423694,0.1384306879564356
61,0.1411169964189793,0.1378648436012592
62,0.140828789841738,0.1356252869654668
63,0.14050378099316035,0.1356819953248378
64,0.14026288860182134,0.13676838494410112
65,0.13997988819371174,0.13589215255561635
66,0.13969553186858985,0.13482938441241818
67,0.13939869804719748,0.13438800988136307
68,0.139180337276432,0.1355934093552536
69,0.13888785855837413,0.13526266863476605
70,0.1386342808065376,0.13327309653824954
71,0.1383508227755895,0.13467494910475392
72,0.13800392082840057,0.13373672436340842
73,0.1377081835450968,0.1333606201091717
74,0.13726704523816508,0.1320507965206068
75,0.13695344393748807,0.13212181772353862
76,0.13660060345960154,0.13250134001997155
77,0.1363096593679968,0.13186714820909518
78,0.1360257050074182,0.13143633988812603
79,0.13580033544752,0.13044158310030135
80,0.1355611489871506,0.1315200497713189
81,0.13525566585099588,0.1303060296449708
82,0.1350751093526069,0.12977984303446471
83,0.1348093238035406,0.13493349887384068
84,0.1345329394686436,0.1307478016188051
85,0.1342623301057702,0.1293424820387737
86,0.1339498237392027,0.13086226943708681
87,0.13382787614971256,0.12933350636963503
88,0.13367629784265345,0.1288228195822117
89,0.13344983833172563,0.12870185215793928
90,0.13325791419650704,0.12957196935316223
91,0.1331145269388284,0.12909324476380263
92,0.13288989542625068,0.12735066480224325
93,0.13277408178331626,0.12847387359278378
94,0.1325532468261693,0.12786366629052823
95,0.13236894271410768,0.128103448257996
96,0.13220285322625813,0.12927213469658858
97,0.13212983246781848,0.12716550945108998
98,0.13191225399271217,0.1265129108619552
99,0.13179637058311966,0.12665479585347758
