Epoch,Train Loss,Test Loss
0,1.4801209848684511,0.73222233159292
1,0.5124275232792866,0.36980824288014613
2,0.3246916055271387,0.29337645289375364
3,0.2816598308954186,0.27136807648849076
4,0.2691313925712781,0.26476368622711716
5,0.2645269504344623,0.26160518178039477
6,0.2626259375260496,0.2599014852408665
7,0.26166011864539473,0.2603518164541253
8,0.2610990060854084,0.2592198708255797
9,0.2607238562799231,0.25936445911093475
10,0.26040494683210674,0.2584621324597987
11,0.2602034657541923,0.2582599088596683
12,0.26004737703600195,0.25818898198212603
13,0.259891704493754,0.25783110691876854
14,0.25980053745933573,0.2577822839090967
15,0.2597191289693486,0.2584025366594527
16,0.25962136916529505,0.2585342121551943
17,0.259498698422565,0.2579348979654066
18,0.2594440067581428,0.2576171888098079
19,0.2593969880337953,0.25722987019870897
20,0.2593204155508019,0.25813723755016993
21,0.2592580011518444,0.2572815291265919
22,0.259228628975945,0.25720562140143727
23,0.25917575948922184,0.2575984557901038
24,0.25913108789697986,0.25689927814607394
25,0.2590903125528436,0.2577186585660431
26,0.2590823397446983,0.25700962504872027
27,0.2590462371820394,0.2579045124204866
28,0.2590208991911582,0.2576084681905399
29,0.25900291351474297,0.2571880454919419
30,0.25897898101602657,0.2572109670515566
31,0.2589439518158767,0.2580394420558428
32,0.25891949626348365,0.25858780575757434
33,0.25891780625466887,0.25662575004892646
34,0.2588848342029909,0.2572812702863953
35,0.25886706672280113,0.257135943523387
36,0.25882813637874424,0.2573343359455263
37,0.2588121357855996,0.25685770290456345
38,0.2587842615893544,0.25702718021428517
39,0.25877992316790427,0.25771424607380444
