Epoch,Train Loss,Test Loss
0,0.5887202742679646,0.07603638867869354
1,0.05798745999303882,0.0564977110832294
2,0.05295742480454496,0.055158927928790256
3,0.05249305651909573,0.05514546058043513
4,0.0523483963920043,0.0547158444035531
5,0.05226673258841819,0.05470022503507045
6,0.05222039656301581,0.05486302065975265
7,0.05218663475053496,0.054894628336015654
8,0.05214802972660612,0.05441568088970096
9,0.052120741271769536,0.05447938518076688
10,0.052117261479743014,0.05496260399943181
11,0.0520983512961989,0.05498978087582681
12,0.05208671252823487,0.05451056011154662
13,0.05207494624345413,0.054505689363677536
14,0.05207491157208501,0.05469991485669033
15,0.052049077444813845,0.05454714006633984
16,0.05205353784085282,0.05495632223391405
17,0.052041495797788086,0.05439123493291944
18,0.052043864021474255,0.054381600320992596
19,0.05203456919594132,0.054419023099697074
20,0.052019746189354524,0.05454555659306289
21,0.05202165925340927,0.05521153425086519
22,0.05202038859595774,0.05438661167506447
23,0.052013517277295314,0.05451940480189412
24,0.05201113816700229,0.054575392060616366
25,0.05200439490551215,0.05440665220423532
26,0.05200996098524629,0.054657580546062
27,0.051984409014062795,0.05445445046390187
28,0.052002654883965854,0.0543594149699726
29,0.051986165044072864,0.0545042845586928
30,0.05198616090331556,0.05440238752921288
31,0.05197081745092958,0.054383632105972454
32,0.05197516507800322,0.05454026400679923
33,0.0519716572008403,0.054278595389945346
34,0.051979679111721584,0.05470765053875093
35,0.05195656809196071,0.05427766903758272
36,0.0519838636036061,0.05442359821764895
37,0.05196790113298933,0.05444654265149446
38,0.05196732491246808,0.05441706484325474
39,0.0519482077843544,0.054305225560826405
