Epoch,Train Loss,Test Loss,Teacher Ratio
0,0.0042438220051511585,0.0032102623008255044,1.0
1,0.0035723028862759865,0.003323175047388028,0.98
2,0.0037115132602072044,0.0034481302844005858,0.96
3,0.0038591401179692273,0.00358994184981076,0.94
4,0.0040193180792086666,0.003724237821803975,0.92
5,0.0041812322875822245,0.0038710276835704437,0.9
6,0.0043558489054004255,0.0040212089091516984,0.88
7,0.004551244313611497,0.004191982113552804,0.86
8,0.004735192395912313,0.004339753531053931,0.84
9,0.004948299880818304,0.004556698876830613,0.8200000000000001
10,0.005154759163928313,0.004735098865222865,0.8
11,0.005384645251696753,0.004916290615298944,0.78
12,0.005628287823476224,0.005129058214561465,0.76
13,0.005891023530577403,0.005393218291244042,0.74
14,0.006166495510827643,0.005587620241996759,0.72
15,0.0064638595743703895,0.005883286491835225,0.7
16,0.006776592284685262,0.00613443671402807,0.6799999999999999
17,0.007089597683898387,0.006444557148250257,0.6599999999999999
18,0.007411942042552794,0.006750966988537528,0.64
19,0.007761444835765252,0.007011369981155367,0.62
20,0.008187461887573428,0.007398305177961089,0.6
21,0.008595286402002616,0.00768387714477409,0.5800000000000001
22,0.00900347488321021,0.008212204667439084,0.56
23,0.009477936969078444,0.008501387846363123,0.54
24,0.009945797291183755,0.008929439152092608,0.52
25,0.01048597338530528,0.009405781294262122,0.5
26,0.011004159396452608,0.009900847838422608,0.48
27,0.011615912842834015,0.010476491004303246,0.45999999999999996
28,0.01226729369698915,0.01095222931375768,0.43999999999999995
29,0.01297327904954344,0.011595811141908677,0.42000000000000004
30,0.013705173537365315,0.012263826250484985,0.4
31,0.014542671647904038,0.01297577596092242,0.38
32,0.015448336838495138,0.013737102032439384,0.36
33,0.016368239618345985,0.014538050753760613,0.33999999999999997
34,0.01747585104204173,0.01546481512162185,0.31999999999999995
35,0.018670885275637848,0.01653495311039035,0.30000000000000004
36,0.019978688012102255,0.017637388824087705,0.28
37,0.021504849240077843,0.019001871037571307,0.26
38,0.023241402028096627,0.02043113942816107,0.24
39,0.025278680300492,0.022250520774426467,0.21999999999999997
40,0.027618581373828284,0.024394673736008232,0.19999999999999996
41,0.030445245176447738,0.026982563284929387,0.18000000000000005
42,0.033889837128854,0.029807919388961695,0.16000000000000003
43,0.03830992289687374,0.03358031448529276,0.14
44,0.04388811375799246,0.03830931911106877,0.12
45,0.05154496470966798,0.04495179769271361,0.09999999999999998
46,0.06232534859128252,0.05454770420649964,0.07999999999999996
47,0.07897388524036986,0.06934128397989846,0.06000000000000005
48,0.10751627139030072,0.09398449919789373,0.040000000000000036
49,0.1668270963638405,0.14614145716081162,0.020000000000000018
