Epoch,Train Loss,Test Loss,Teacher Ratio
0,0.06631498497167437,0.0541364908367694,1.0
1,0.056968435689585026,0.054397557204018135,0.995
2,0.05725148776053031,0.05472624261357741,0.99
3,0.0575845919569669,0.05509649828882638,0.985
4,0.05795990227106201,0.05540315834308913,0.98
5,0.05830323127169799,0.05566599022529885,0.975
6,0.058671025532030956,0.056052337057127026,0.97
7,0.05904980790690598,0.05661877659584334,0.965
8,0.05938589790230275,0.056889924152879294,0.96
9,0.05979540861336542,0.05723666142754421,0.955
10,0.060182314669226085,0.057686368907859664,0.95
11,0.06058886148752597,0.05800240475960628,0.945
12,0.06096614686528373,0.05855625414149556,0.94
13,0.0613824692550342,0.05872203998222857,0.935
14,0.0617603900027715,0.059316023611174315,0.9299999999999999
15,0.06220091158441767,0.05957890798817417,0.925
16,0.06260809603857448,0.060226163327514765,0.92
17,0.06312514682091933,0.06042585019208864,0.915
18,0.0634152829113484,0.061180539569838016,0.91
19,0.0639474706803197,0.061308073335157365,0.905
20,0.06433185816831286,0.062148489792922694,0.9
21,0.06489389106379559,0.06261294819160788,0.895
22,0.06531448612089394,0.06296899334611539,0.89
23,0.06577032935241112,0.06318445516343346,0.885
24,0.06618405191043558,0.06382739778451307,0.88
25,0.06659429480424588,0.06415533093925946,0.875
26,0.06721454221855458,0.06499158131246098,0.87
27,0.06776767013198298,0.06578174250189192,0.865
28,0.06808413180577064,0.06565155979208573,0.86
29,0.0687259630019942,0.06635800679902992,0.855
30,0.06919476038954157,0.06694681179099427,0.85
31,0.06974521725025143,0.0672673178635881,0.845
32,0.07030965870010718,0.0680078592612772,0.84
33,0.0707574187329436,0.06846333727598906,0.835
34,0.07132618755188272,0.06875490719515957,0.83
35,0.07192984232460825,0.06971054785506042,0.825
36,0.07239758613076998,0.07013733054270486,0.8200000000000001
37,0.07306412680469955,0.07097835313640759,0.815
38,0.07355070592059271,0.07159474083560263,0.81
39,0.07437090651118297,0.07195442905227742,0.8049999999999999
40,0.07488584742927105,0.07228023969249162,0.8
41,0.07548318365105632,0.07294900519784563,0.795
42,0.07605026874715261,0.0734957293858509,0.79
43,0.07662307992772967,0.0739951337294612,0.785
